,Name,STATE_FIPS,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Alabama,1,4052.36555556,3430.02269461,3161.59789474,2536.86087591,2739.47246154,3378.15723881,3398.14080292,3874.01345324,3977.87354167,3712.5551773,3889.44776978,4306.06407143,5472.88265306,6817.80159509,8159.8465896,8995.92647727,9344.27822222,8295.43066667,7744.4970852,7842.61813278,7508.795,8091.87273859,8622.73711538,8953.88384906,9328.74370787,9083.92724907,10190.5075,10695.3004412,10849.0062989,10897.5887889,11250.2907904,11292.1839865,11386.9638462,11842.158245,12325.3609804,13079.8364516,13825.7177778,14362.0602778,14734.9664072,15510.7785057,16063.9693733,16471.7969845,17083.5018519,18189.452823,19134.3810811,18934.0869574,19001.2789033,20069.9552021,20593.4278713,21387.8911043,21273.4416391,20547.6456796,20561.5659406,20419.9206736,21072.444488,22300.2848893,23094.6289126,23884.8583394,24384.6984507,25102.4611496,25777.3126048,25987.3740168,26046.8710132,26701.6756522,26710.9700138,27302.077058,27708.2137205,27796.8302932,28242.6932897,29117.8039939,29601.212599,29241.5675203,29639.055782,30005.3666315,30390.7983967,31419.6194018,31963.0470507,32599.833621,33098.0194847,32702.237326,32274.0
1,Arizona,4,7527.61403509,6680.19401198,6055.02453947,5026.74284672,5082.87661538,5795.70104478,6514.40817518,7130.6542446,7508.795,7272.9564539,7562.81510791,7738.65607143,9311.19768707,12069.3514724,12450.5865896,12799.0823864,13396.6437778,12289.1194359,11409.9050224,11786.1820747,11763.4783613,12168.9659336,13392.0596538,13892.282717,13788.2206742,13526.1989591,14024.9561194,14591.6709559,14452.6171174,13993.1572664,14553.1284536,14923.3676689,15089.341505,15394.0953311,15452.2728105,15986.4667742,16427.4045714,17129.8524383,17689.6676048,19061.7357471,20395.6292371,21249.1157474,21956.9349383,23029.3664833,23816.5061486,23190.0136511,22043.8761338,22901.5419684,23514.1048515,24961.3141411,25425.2940496,24968.5658981,25154.4042464,24332.7198446,25102.5521888,26605.4787777,27530.9191078,28310.6626916,28573.4578345,28644.2258242,28664.9114194,28250.9281331,27664.5619016,27724.663913,27846.7541315,28625.1999865,29046.9583858,29549.7712365,30450.8872087,31763.3216012,32436.8096819,31866.5934146,31777.1574478,31565.2020734,31604.5647935,32655.2798359,33692.0856477,34640.9148016,34631.4465473,33326.0101578,32077.0
2,Arkansas,5,3889.26725146,2929.00814371,3034.56940789,2458.56270073,2590.94684615,2993.91186567,3241.54445255,3812.27618705,3813.99111111,3514.75510638,3843.14482014,3984.25857143,4991.26897959,6330.81576687,6932.14930636,8374.25676136,8819.85444444,8317.43446154,7128.7855157,7887.12788382,7328.51180672,7539.95182573,7896.61188462,8314.32071698,8565.40981273,8565.52929368,9414.01164179,9701.48933824,9497.65224199,9754.38124567,10409.8365636,10183.2596284,10841.652408,11181.497947,11610.2376471,12297.8144839,12844.9772063,13865.4468519,14253.2216467,14851.1388793,15309.8747411,15752.9874485,16400.1617778,17527.3649522,19255.1789414,19042.8785396,18562.6344796,19436.5243409,20073.0163366,21417.5051074,20945.4305234,19750.9427427,20212.2647745,19901.9194197,20411.1708032,21804.7230029,22458.5944981,22968.7696898,23009.848662,23604.5104987,23898.3837177,23815.7408799,24029.0890969,25115.9673913,25232.2236332,25695.2209852,26107.6325591,26583.9920586,27039.6820748,27981.942454,28644.4239376,27729.0941289,28506.4070243,28536.1638299,29235.3300978,30056.7586289,30221.9249565,30904.6082192,32148.1638549,31686.8627005,31493.0
3,California,6,12433.1091813,11394.8694012,10571.5929605,9082.58832117,9010.554,9654.165,10335.3591241,11899.8580576,11844.2302083,11731.0657447,12054.201223,12933.5162857,14784.0803401,16926.0479755,19209.1221387,19296.1403977,18867.3372778,18384.1706154,16287.4951121,15694.1382158,15720.6944538,16708.9605394,17162.96,17867.2890189,18070.9255805,17761.111487,19044.161306,19679.0373162,19690.0684342,19271.212872,20200.3910653,20460.7415878,20664.4334448,21340.0380132,21748.162549,22657.8754194,23272.1564762,24254.5997222,24909.4157485,25935.550546,26539.4544959,26623.5993557,26666.1545185,27977.06189,28735.3950225,28516.4495132,28276.6146283,29465.8463093,30339.6384488,31647.4979448,32050.5275758,31318.7569539,31165.6885039,30622.0998756,31213.4103112,32886.7256882,33713.811645,34506.0058029,35173.8699384,35749.5171682,35926.2968145,35929.6128003,34691.3574743,34744.9017391,34039.3757716,33979.939278,34483.5849869,34953.533021,35768.1967788,37221.511411,38516.2165066,40210.1142567,39672.9912479,39234.3929961,39410.6800924,40503.0864531,41153.0959089,42746.7100843,43398.4691524,42226.2320962,40902.0
4,Colorado,8,7954.17883041,7425.29257485,6647.82414474,5543.51080292,5825.50469231,5891.76238806,6952.8779562,8365.39956835,7925.95027778,7698.98737589,7964.10733813,8351.61892857,9471.73557823,11779.7923313,12884.6209827,12981.9264205,14171.3607222,13323.2977949,13074.2503587,12943.4356017,12890.2483193,13539.8662656,14819.5558462,15219.9833962,14567.6247566,14140.3011524,14961.5542164,15459.2838235,16063.5533096,16012.3290311,16669.0088316,16960.0195946,17342.3387625,17553.6730795,17800.9621895,18256.4066452,19069.9555556,19745.3498148,20181.8938323,20843.3792241,21547.2311172,22421.3282216,23376.5871852,24589.6355742,25657.4655405,25518.1535091,25206.1036617,25997.0582601,26788.8032838,28097.1080215,28356.7087052,28142.3596238,28654.4963366,28779.0825389,29229.589257,30458.4724447,30737.0110781,30872.9704745,31003.9958539,31346.3401944,32090.582871,32341.4117138,32270.334207,32795.2604348,33444.0170381,34016.1297301,35003.0348097,35866.9219057,37360.1816199,39301.0725153,40622.9543938,41049.8235366,41463.4242575,40502.0574263,39749.9750217,40366.8003759,41070.7084281,42207.1750694,42593.4716796,41570.5731132,40093.0
5,Connecticut,9,12847.1279532,11831.6513174,11305.5353289,9708.97372263,9621.15930769,10454.676194,11055.7023358,12440.0591367,12812.6263889,11700.6349645,12903.0886331,14067.4975714,16710.535034,18663.4028221,19754.7653757,19491.1740341,18652.8002778,17382.9979487,16374.0795516,15311.3543568,14990.547521,16833.5878423,17806.571,18604.0009811,19227.9790637,18742.0799257,19828.6622761,21169.7539706,21453.7,20273.3753287,20878.6523711,21207.2723649,21826.8078261,22554.8004967,22785.7924837,23536.7850645,24402.7324127,25651.7388272,26945.5902695,27390.4566379,28334.0828065,28144.1579897,28075.2123457,29239.6480622,30155.9778604,29647.8819675,28866.7907621,29729.7758348,30842.3489109,31983.1233129,32419.9094628,32386.2347451,32723.3828933,33132.0716166,34030.8239257,36299.9081809,37410.3878346,39223.4708577,41349.3628081,43536.6843533,44632.3466855,43885.7018516,42313.5641043,43786.65,43949.648955,44198.6753306,44972.5297835,45767.8933333,47580.4302305,49293.4952393,50608.0678271,50631.7286876,51216.3174647,50111.5023735,49434.4550326,51117.5004394,51653.6549616,54414.2878026,55801.4314996,54334.0015513,52736.0
6,Delaware,10,12947.4961404,11009.4735928,10938.5641447,9239.18467153,9307.60523077,10326.594403,10977.4041606,13396.9867626,14138.5842361,12096.2351064,13875.4505755,15737.8213571,16987.8277551,16991.8568712,18155.0386127,18333.1618182,18187.9701111,17217.9694872,16008.5008072,14999.7860996,16270.5581933,18471.5466805,17781.8167308,18166.8312453,18810.1541948,18391.1643866,20068.8156343,21682.4343015,20193.9631673,19679.5012803,20082.4325773,20330.2798986,20198.0486622,20835.662947,21376.5788562,22214.9603226,23619.5020952,23903.6595679,24312.0522455,25146.4489368,25843.816812,25479.0334021,25913.950716,27217.457201,28368.169527,27620.0068763,26833.0757063,27708.829754,28013.7175083,28488.6709509,28217.8211157,28126.7379976,28021.9780088,28294.4290052,29141.2758333,30592.6871222,32013.0675836,32848.0419434,33867.0072271,35022.3038377,36211.7694355,35514.3269472,35192.2588399,35313.7382609,35369.6536401,35510.0715924,35743.4971588,36426.1674952,36631.6914953,38920.6970982,39633.9723049,38939.3376016,39568.8117899,39905.7900556,39786.1198424,40883.5517522,40970.7449514,41883.6668948,41647.7548543,40553.2056033,40135.0
7,Florida,12,6498.84011696,6037.86766467,5617.48197368,4995.42357664,4752.81969231,5571.55791045,5888.02277372,6945.44244604,7255.52215278,6999.07943262,7639.98669065,7999.16528571,8887.96142857,10358.320184,12512.5915029,13579.2169318,13992.5798889,12861.2181026,11227.1156502,10691.2421992,10889.1048739,11608.1430705,11452.9752308,11933.1146415,12590.9917228,12457.5016357,13392.5522761,14126.3149632,14017.4353025,14008.0041176,14818.5350515,14662.4442905,14630.1318729,15010.4861258,15424.2287582,16249.4476129,17013.1246349,17778.7606481,18685.2734431,20029.6181897,21389.3973569,22150.3923196,22703.8415309,24137.9787321,25295.0719595,24438.9410142,23507.3534387,24040.2093497,24816.9037954,26063.6131442,26237.9342011,26163.6203034,26421.8010451,26209.0849016,27219.9203715,28420.4741867,29319.3920539,30189.818896,31000.218794,31904.8980642,32950.4610081,32590.9115149,31800.936072,31593.363913,32146.4022422,32339.7879892,33098.3854593,33658.6538687,34382.0605234,35444.671227,35773.3364946,35064.7146632,34950.9967476,35178.5823402,35301.8301576,36867.6553415,37854.3011777,39304.114871,39092.0430834,37673.487578,36565.0
8,Georgia,13,4353.47011696,3943.88377246,3613.25473684,3131.9270073,3366.58061538,3906.49462687,4196.78218978,4661.16359712,4663.20006944,4412.46312057,4769.20381295,5164.21207143,6115.03421769,7462.72877301,8990.71242775,10129.5594886,10476.5568333,9296.60333333,8533.37753363,8795.12680498,8734.72071429,9480.57697095,9934.71338462,10362.5418868,10654.5341573,10383.9098141,11391.274291,11823.1971691,11627.7527046,11751.2827336,12238.1931271,12306.8860135,12513.4624749,13099.5439735,13748.596634,14408.5817419,15378.5570159,16302.1633951,17053.764521,17822.5996264,18484.08703,18766.4581959,19419.5714074,20724.8900957,21729.1191216,21179.545213,20544.5097398,21468.7816872,22023.674538,22996.9186043,22818.9354545,22062.9434223,22267.9493399,22351.8652642,23368.593504,25160.0899423,26205.016645,27384.7867701,27988.0135563,28791.1192899,29071.4936371,29115.9702066,28808.1291703,29562.6786957,29885.2268028,30646.0748313,31293.6844488,32250.2847801,32811.4625483,34396.9936074,35206.7321729,34809.3134727,34640.8811519,34178.0456921,33882.8544565,34065.8407358,34600.544936,34839.9148958,35071.194524,34005.5837541,33086.0
9,Idaho,16,6360.83385965,6461.80305389,5278.73934211,4290.74,3746.14607692,6452.12022388,6248.19437956,7331.30035971,6302.024375,6481.75617021,6744.79633094,7095.04507143,8698.23482993,12029.866135,12711.0072254,13347.6144886,13527.7497222,13235.2826154,12294.9904036,11973.123029,11511.0818908,11830.6918257,12352.3803462,13309.3897358,12454.3951311,12433.5755762,12776.1586567,13629.4094118,13612.7925623,13488.3643253,13941.2187973,13756.4603378,14170.9222408,14861.3047682,15199.8763399,15571.233871,17394.523746,17156.3384877,17696.0908683,17939.7318966,19109.576376,19673.2640722,19922.8063457,21299.7260766,22753.4849775,23420.6518053,22215.3462268,23059.8996837,23046.7965347,24082.7653834,23327.2049311,22742.4841626,22197.1450495,21389.2277409,22218.36501,22855.7271704,23222.2345632,23426.8140146,23816.2509419,24569.2922739,25611.2194435,26043.1831829,25509.7409325,26356.0921739,27107.3809412,27281.8104049,27633.6043963,27829.6466603,27843.0262305,28854.568411,29405.4765606,30124.8818815,30434.9383851,30391.7478877,30212.4062174,31625.184235,31859.7880748,32940.3685417,33284.2656866,32207.005541,30987.0
